Unnamed: 0,VEHICLE_ID,BASE_CUSTOMER_ID,GENDER_ID,MARITAL_STATUS_ID,BIRTH_DATE,FK_ADDRESS_COMMUNICATION_CITY,OCCUPATION,FK_RELATION_STATUS_ID,SALESFILE_ID,SF_CREATE_DATE,STATUS,REQ_BRAND_CODE,REQ_TOPMODEL_CODE,TRAFFIC_DATE,BRAND_CODE,BASEMODEL_CODE,MOTOR_GAS_TYPE,GEAR_BOX_TYPE,IS_MAINTENANCE,TOTAL_AMOUNT_TL,TOTAL_AMOUNT_GROUP,CUSTOMER_ID,OCCUPATION_imputed
1481,5305656,144540,1,2,14.0,0,14.0,2,5581987.0,6,1,4,5,22.0,1,0.9512487512487372,0.0,1.0,1,721.0,3.0,1414199,12.493079416493186
14186,5112263,60548,0,1,13.0,0,50.0,1,3200599.0,4,3,0,3,10.0,4,0.9176823176822166,1.0,0.0,1,41.0,1.0,1176282,20.08444088386286
18798,5317552,109731,0,1,7.0,0,11.0,2,9765418.0,10,2,0,6,22.0,0,0.9235764235763844,1.0,0.0,1,548.0,2.0,1783943,20.718147280486935
202656,5292751,76711,0,1,11.0,0,15.0,2,3378737.0,4,3,1,1,21.0,2,0.9221778221778196,1.0,1.0,1,450.0,2.0,1490527,19.21622178885849
127138,5261411,142361,0,1,10.0,5,19.0,2,7222887.0,7,3,2,2,19.0,0,0.9230769230769366,0.0,0.0,1,674.0,3.0,1680591,14.73787630219774
221068,5162337,110097,1,1,8.0,2,1.0,2,6421535.0,7,3,4,5,14.0,1,0.9501498501498452,0.0,1.0,1,257.0,1.0,1207638,15.666522883041834
211101,5315363,37649,0,1,15.0,3,17.0,2,7315761.0,7,1,4,5,22.0,1,0.9512487512487532,1.0,1.0,0,1602.0,6.0,1785248,16.74488351611313
201410,5115511,87428,0,1,7.0,0,,1,1401497.0,2,3,1,4,10.0,4,0.9176823176822166,1.0,0.0,1,287.0,1.0,1184056,25.092351710076727
215791,5232762,99775,0,1,7.0,0,16.0,1,3791971.0,4,3,1,1,18.0,4,0.9421578421578328,1.0,0.0,1,211.0,1.0,1170144,16.917934235665292
14333,5276037,181355,0,1,9.0,0,,2,4575055.0,5,2,0,3,20.0,0,0.9807192807192864,0.0,0.0,1,343.0,2.0,1707819,24.40931333367213
254292,5183741,83253,0,1,5.0,0,26.0,2,599628.0,1,1,4,5,16.0,1,0.9501498501498452,0.0,1.0,1,297.0,1.0,1121925,17.854947021918296
92335,5169842,165343,0,1,5.0,0,15.0,2,130770.0,0,1,3,1,15.0,3,0.9113886113886128,0.0,0.0,1,186.0,1.0,1495806,26.13869189049978
172650,5285404,41914,1,1,8.0,4,7.0,1,8431403.0,9,3,4,5,21.0,1,0.951448551448562,1.0,1.0,0,1150.0,4.0,1733493,13.193059580805338
242298,5321142,124438,0,1,8.0,0,,1,903783.0,1,2,1,4,23.0,4,0.9926073926073922,1.0,0.0,1,987.0,4.0,1795948,11.148768262987574
139224,5213571,101842,0,1,9.0,2,17.0,2,6515424.0,7,2,1,9,17.0,4,0.942557442557445,1.0,0.0,0,696.0,3.0,1160948,16.542769332899997
250895,5316285,181632,0,2,20.0,1,7.0,1,6946497.0,7,1,2,2,22.0,0,0.9235764235764224,1.0,0.0,1,3115.0,11.0,1775785,15.131198563748454
50694,5240299,150878,0,2,6.0,5,21.0,1,2787596.0,3,1,4,5,19.0,1,0.95144855144855,1.0,1.0,0,212.0,1.0,1561173,17.6563461936694
132855,5173959,73758,0,1,16.0,4,19.0,2,144284.0,0,1,0,2,15.0,2,0.921278721278712,0.0,0.0,0,357.0,2.0,1225033,15.074645663841386
137866,5285354,67130,0,2,15.0,4,30.0,2,8618493.0,9,3,1,9,21.0,4,0.9921078921078876,1.0,0.0,0,40.0,1.0,1053295,22.12235840794188
126901,5248017,183495,0,2,3.0,1,2.0,2,3459686.0,4,1,2,2,19.0,0,0.9339660339660434,0.0,0.0,0,997.0,4.0,1656518,25.56973739345925
180841,5174000,166718,1,1,3.0,2,1.0,1,161074.0,0,1,3,3,15.0,3,0.9367632367632276,0.0,0.0,1,168.0,1.0,1501763,18.00084438134808
79551,5051351,8732,0,1,21.0,3,3.0,1,6213484.0,6,2,0,2,6.0,2,0.9209790209790436,1.0,0.0,1,91.0,1.0,1078334,14.303917128877494
153580,5197247,177501,0,2,1.0,6,2.0,2,8973527.0,9,1,4,5,16.0,2,0.9380619380619356,1.0,0.0,1,334.0,2.0,1553794,18.99927752995821
27706,5300907,162038,0,1,6.0,1,12.0,1,5793524.0,6,1,3,3,21.0,3,0.934265734265732,0.0,0.0,0,246.0,1.0,1480099,17.047299683186505
43032,5214891,164335,0,1,16.0,0,17.0,2,127814.0,0,1,3,1,17.0,2,0.9073926073926089,0.0,0.0,1,265.0,1.0,1585234,20.3184504853491
31885,5321999,27150,0,2,7.0,2,47.0,1,840478.0,1,3,0,0,23.0,2,0.958641358641368,0.0,1.0,1,1969.0,7.0,1128362,14.644050211151809
255227,5272206,34667,0,1,7.0,1,21.0,1,7993754.0,8,2,1,9,20.0,2,0.9345654345654344,0.0,1.0,1,1975.0,7.0,1149483,16.884154978470857
4172,5173231,4051,1,1,14.0,0,3.0,2,8343229.0,8,3,2,2,15.0,2,0.9347652347652272,0.0,1.0,0,2955.0,10.0,1501672,14.728649653130306
46370,5188997,88400,0,1,14.0,4,,1,1277944.0,2,2,4,5,17.0,1,0.9502497502497552,1.0,1.0,1,379.0,2.0,1046922,19.06616352217546
201521,5105510,60351,0,1,10.0,2,15.0,2,1856401.0,2,2,1,1,10.0,2,0.9212787212787108,0.0,1.0,0,148.0,1.0,1179255,18.050242207633854
108172,5300227,131315,0,0,13.0,6,,1,9041281.0,10,3,4,7,21.0,1,0.9515484515484424,0.0,1.0,1,674.0,3.0,1470322,14.585843010281325
69643,5276090,113805,0,1,15.0,0,13.0,2,4743640.0,5,1,2,8,20.0,0,0.9806193806193768,1.0,0.0,1,372.0,2.0,1713000,16.577054646381992
192621,5204979,73216,0,1,20.0,4,55.0,1,2035091.0,3,2,4,2,17.0,1,0.9501498501498516,1.0,1.0,1,856.0,3.0,1571962,19.16407838525821
31900,5321999,27150,0,2,7.0,2,47.0,1,7955217.0,8,3,0,5,23.0,2,0.958641358641368,0.0,1.0,1,1969.0,7.0,1128362,17.141870801544673
242771,5271714,94709,0,1,13.0,0,40.0,1,2571083.0,3,3,0,3,20.0,2,0.93456543456543,0.0,0.0,1,377.0,2.0,1157073,20.660016283998935
126583,5277198,53595,0,1,19.0,0,3.0,1,5023925.0,5,1,4,5,21.0,1,0.9514485514485532,1.0,1.0,1,552.0,2.0,1720556,14.103080108919324
32289,5204839,158355,0,1,7.0,0,2.0,2,6231794.0,6,2,2,2,16.0,2,0.9380619380619512,1.0,0.0,0,399.0,2.0,1468285,14.781889881944483
170414,5185696,170374,0,1,9.0,0,8.0,1,2853852.0,3,3,3,3,16.0,3,0.9366633366633368,0.0,1.0,0,1982.0,7.0,1537015,18.694597241899462
246294,5217903,83449,0,1,7.0,2,11.0,2,3819861.0,4,3,4,5,17.0,1,0.9288711288711468,1.0,1.0,0,110.0,1.0,1148008,19.082842293986197
69602,5249314,25688,1,1,16.0,2,3.0,1,3138064.0,4,1,0,3,19.0,2,0.9380619380619536,0.0,1.0,0,302.0,2.0,1075947,9.114238504611368
89937,5054434,165189,0,1,13.0,2,,2,3248114.0,4,3,0,0,8.0,2,0.91058941058949,1.0,0.0,0,,,1052269,18.175713833164696
15091,5068389,63073,0,1,20.0,4,,1,4043972.0,5,2,2,3,9.0,2,0.9108891108891152,0.0,1.0,0,,,1056507,6.061792800478274
212300,5113316,40274,0,1,19.0,2,3.0,1,10372984.0,11,2,0,6,10.0,2,0.9563436563436588,0.0,0.0,0,18.0,1.0,1183621,10.9219425892092
146848,5289168,86602,0,1,14.0,2,24.0,1,5238878.0,6,1,2,2,21.0,0,0.9807192807192864,0.0,0.0,0,303.0,2.0,1727370,11.333122940878201
60923,5336575,131557,0,0,,3,,1,9047954.0,10,3,4,5,25.0,1,0.9513486513486524,0.0,1.0,1,1181.0,4.0,1650645,13.472125948245123
199367,5167270,158849,1,1,8.0,1,14.0,1,8393589.0,9,3,0,6,14.0,2,0.9380619380619559,0.0,0.0,0,208.0,1.0,1469884,14.097434325980219
4223,5272985,184390,0,0,,3,,2,3738082.0,4,2,2,3,20.0,0,0.9339660339660328,0.0,0.0,0,423.0,2.0,1706987,16.922851637880566
192728,5164431,170548,0,2,12.0,0,23.0,2,279927.0,0,1,3,2,15.0,3,0.9225774225774264,0.0,0.0,0,127.0,1.0,1519590,20.32055313442693
163222,5240493,36877,0,0,,6,,2,7697449.0,8,3,0,2,19.0,1,0.9505494505494534,1.0,1.0,0,304.0,2.0,1261768,14.426484849541872
101301,5173292,164783,0,1,6.0,4,30.0,1,118477.0,0,1,3,3,15.0,3,0.9367632367632276,0.0,0.0,0,,,1491355,15.953458277783456
198613,5248491,15582,0,2,8.0,0,13.0,1,3399524.0,4,1,4,5,19.0,1,0.9510489510489576,1.0,1.0,1,537.0,2.0,1356906,15.164557587066673
235498,5335050,9510,0,1,6.0,0,10.0,2,298394.0,0,1,4,5,24.0,2,0.9586413586413586,0.0,1.0,0,363.0,2.0,1821250,18.99205919930097
172117,5240922,40406,1,1,8.0,0,7.0,2,400593.0,0,3,4,5,19.0,2,0.9335664335664348,0.0,1.0,0,57.0,1.0,1671905,16.80769072424661
160117,5164435,119252,0,1,12.0,0,30.0,1,240122.0,0,1,3,2,15.0,3,0.9225774225774264,0.0,0.0,1,180.0,1.0,1253118,21.72755127070531
108054,5164925,36565,0,1,9.0,0,2.0,2,1610234.0,2,2,4,5,14.0,1,0.9502497502497482,1.0,1.0,0,23.0,1.0,1412679,18.473256803963118
27962,5217881,1484,0,2,5.0,3,2.0,2,10209707.0,11,2,1,9,17.0,2,0.9345654345654514,1.0,1.0,0,,,1594330,19.586773737014255
95876,5259914,77129,1,1,15.0,4,2.0,1,3750010.0,4,1,1,1,19.0,4,0.9151848151848236,1.0,0.0,0,74.0,1.0,1143473,3.526536622228539
10384,5262283,156482,1,1,6.0,6,26.0,1,7335887.0,7,3,3,7,20.0,3,0.935564435564434,1.0,1.0,0,714.0,3.0,1679846,10.70258642461091
236016,5225588,186576,0,1,9.0,0,12.0,2,6074379.0,6,2,0,3,18.0,3,0.9368631368631379,0.0,1.0,0,25.0,1.0,1604798,19.44321022927906
252985,5331607,129747,0,1,2.0,0,26.0,1,8838442.0,9,1,4,5,24.0,1,0.9512487512487372,0.0,1.0,0,1001.0,4.0,1357861,29.293814491772437
8026,5309975,101733,0,1,15.0,1,,2,6642277.0,7,3,1,9,22.0,4,0.9921078921078914,1.0,1.0,1,636.0,3.0,1768183,13.561359060587613
162657,5147432,93709,0,1,20.0,0,,1,5717734.0,6,3,1,9,12.0,4,0.9436563436563552,1.0,0.0,1,285.0,1.0,1375652,11.07388820909334
47854,5182007,101306,0,1,15.0,2,,2,183601.0,0,2,0,3,15.0,4,0.9421578421578468,1.0,0.0,1,239.0,1.0,1519600,15.301015960945794
124418,5325436,79413,0,1,11.0,1,17.0,1,1580101.0,2,3,1,1,23.0,4,0.9891108891108672,1.0,1.0,1,619.0,3.0,1175319,10.790386450653696
201391,5323864,156316,0,1,3.0,4,1.0,1,8243382.0,8,1,3,3,23.0,3,0.9342657342657348,0.0,1.0,0,,,1804148,5.9606407308367455
257241,5249699,109850,0,1,12.0,0,33.0,1,5803454.0,6,2,0,3,19.0,1,0.9510489510489571,1.0,1.0,0,608.0,3.0,1477703,20.132024601936514
240863,5179887,170673,0,1,5.0,1,12.0,1,285302.0,0,1,3,3,15.0,3,0.9367632367632276,0.0,0.0,0,,,1520056,17.107475250655007
71725,5327061,160996,0,1,4.0,0,14.0,2,8221161.0,8,1,2,8,23.0,0,0.9810189810189754,1.0,0.0,0,95.0,1.0,1803787,17.093894408946717
257874,5267589,164769,0,1,17.0,1,3.0,1,4138748.0,5,1,0,3,20.0,2,0.9345654345654304,0.0,0.0,1,357.0,2.0,1695410,13.418349699284258
32946,5171326,167626,1,2,6.0,0,15.0,2,10240188.0,11,5,0,6,15.0,3,0.9367632367632328,0.0,0.0,1,245.0,1.0,1505138,30.017264866040982
254696,5273936,112034,0,1,21.0,0,3.0,1,248671.0,0,2,4,5,20.0,1,0.9493506493506616,1.0,1.0,1,484.0,2.0,1225995,13.056554966402866
245598,5197538,173786,0,1,6.0,2,4.0,2,406152.0,0,1,3,3,16.0,3,0.9367632367632276,0.0,0.0,1,206.0,1.0,1530687,19.13374349216717
29916,5215155,131195,0,1,6.0,2,2.0,1,1974734.0,3,1,3,1,18.0,3,0.9113886113885952,1.0,1.0,1,226.0,1.0,1596815,15.099383973910168
18135,5290927,51679,0,1,15.0,1,28.0,2,5707936.0,6,2,1,9,21.0,4,0.9891108891108672,1.0,1.0,1,398.0,2.0,1266672,15.102232390148611
