,BASE_CUSTOMER_ID,BIRTHDAY_Y
0,158891,1959
3,38013,1959
4,157091,1958
5,6590,1959
20,50294,1959
21,147572,1959
27,172008,1959
28,168,1959
29,194037,1959
40,113004,1959
42,14458,1959
57,99463,1959
61,176137,1959
63,187481,1959
69,66214,1959
78,45789,1959
83,155553,1959
85,35107,1959
88,146640,1959
95,85311,1959
96,151078,1959
100,180142,1958
110,181380,1959
111,11002,1959
118,141024,1959
120,177676,1959
124,85459,1959
131,53357,1959
133,186885,1959
134,15565,1959
142,183001,1959
143,8017,1959
145,31589,1958
150,151186,1958
159,118882,1959
163,125913,1959
164,61712,1959
167,93045,1959
168,110064,1959
174,193508,1959
175,176648,1959
185,140055,1959
189,185596,1959
196,159324,1958
197,98335,1959
201,151406,1958
203,93920,1959
206,125536,1959
207,123198,1959
208,119856,1959
220,133662,1959
221,15298,1959
226,133736,1959
244,89739,1959
247,18909,1959
252,49143,1959
260,164607,1959
275,114633,1959
283,143111,1959
284,54883,1959
293,37567,1959
295,31271,1958
296,145513,1959
298,20175,1958
302,22558,1959
312,13797,1959
317,148587,1959
319,14885,1959
327,22568,1958
329,29482,1959
331,156417,1958
340,55353,1959
343,148209,1958
346,111602,1959
348,159400,1959
349,106869,1959
350,91355,1959
358,130033,1959
359,174078,1959
363,152638,1959
364,101053,1959
365,175854,1959
367,119708,1973
368,162064,1958
371,173029,1959
373,74962,1959
374,186833,1959
381,13619,1958
392,114026,1959
393,185966,1959
396,4773,1959
403,195349,1959
407,116931,1959
409,181536,1959
411,157150,1959
417,13484,1959
426,190595,1958
427,187648,1959
429,129515,1959
430,151456,1958
433,185857,1959
434,155369,1959
440,24317,1958
447,76754,1959
448,168058,1959
455,159417,1959
463,20747,1959
465,191932,1959
473,101630,1959
477,119641,1959
478,11766,1959
484,20827,1959
485,150457,1959
487,85081,1959
488,122590,1959
490,128678,1959
491,67046,1959
504,1331,1958
513,127795,1959
516,49194,1959
534,31086,1959
536,182905,1959
539,115184,1959
540,182134,1959
544,133751,1959
546,12038,1959
553,164636,1959
557,123115,1959
559,182531,1959
562,154045,1959
566,18375,1959
569,181241,1959
571,141665,1959
575,36005,1958
579,142842,1959
581,33986,1966
586,105065,1959
587,190771,1959
592,189250,1959
593,137203,1959
596,135331,1959
605,131626,1959
608,29858,1958
633,177897,1959
649,82441,1959
659,74220,1959
665,186560,1959
667,66978,1959
668,154030,1959
673,32534,1959
678,129084,1959
682,187129,1959
683,165290,1959
691,118129,1959
694,191443,1959
700,186167,1959
704,194881,1959
706,191019,1959
709,38745,1959
714,193778,1958
716,195535,1958
728,171518,1959
729,98142,1959
736,133031,1959
742,168564,1959
743,188864,1958
748,132640,1959
749,176172,1959
765,85816,1959
771,20614,1959
773,20364,1959
775,106056,1959
779,189502,1959
781,126910,1959
789,144654,1959
794,120025,1959
795,161201,1959
801,138432,1959
802,154431,1959
805,187419,1959
813,136120,1959
821,105550,1958
834,109609,1959
838,56069,1959
844,158315,1959
847,5380,1959
851,139211,1958
852,182078,1959
855,153899,1959
856,112948,1959
857,171815,1959
876,176821,1959
878,163134,1959
881,11599,1959
882,22628,1959
887,115691,1958
903,127186,1959
910,83398,1959
912,175943,1959
913,127199,1958
916,2444,1958
920,117283,1959
922,112864,1958
923,193963,1958
924,183491,1959
928,128335,1966
931,123296,1959
935,156548,1959
936,189352,1959
943,180711,1959
946,70720,1959
948,798,1959
953,187997,1959
955,87125,1959
957,187950,1959
958,132862,1959
961,110788,1959
967,46319,1959
968,171230,1959
972,184303,1959
975,13012,1959
980,9848,1959
982,23879,1959
983,42543,1959
984,166107,1959
985,64780,1959
989,19471,1959
990,14472,1959
991,13344,1959
992,109660,1959
1001,21162,1959
1002,136301,1973
1006,182962,1959
1014,3436,1958
1019,24417,1959
1020,22503,1959
1025,139409,1959
1030,75750,1959
1041,70843,1959
1042,155451,1959
1043,185476,1959
1044,153058,1959
1048,139931,1959
1052,60041,1959
1054,5640,1959
1056,175404,1959
1057,156731,1959
1063,158233,1959
1067,170961,1959
1069,174794,1959
1076,61109,1959
1078,166513,1959
1080,122732,1959
1094,187043,1959
1099,31627,1959
1111,28379,1959
1112,40961,1959
1114,103401,1959
1116,4273,1959
1126,45808,1959
1127,184003,1959
1134,102254,1959
1137,77391,1959
1138,118891,1959
1140,17136,1959
1149,173710,1959
1150,179802,1958
1153,90300,1959
1154,155684,1959
1155,101292,1959
1156,146454,1959
1158,26973,1959
1160,175084,1958
1161,79045,1959
1168,183109,1959
1172,127610,1959
1183,26595,1959
1184,65182,1959
1197,113670,1959
1198,97055,1959
1200,179519,1959
1202,108258,1959
1206,142419,1959
1208,147732,1958
1209,75373,1959
1212,65567,1959
1215,18572,1959
1216,71455,1959
1220,81215,1959
1228,178655,1959
1245,12602,1959
1251,179301,1958
1254,3551,1959
1272,177548,1959
1274,3415,1959
1275,159074,1959
1276,7042,1958
1278,95434,1959
1283,31567,1959
1285,137558,1959
1288,92369,1959
1290,175779,1959
1291,170065,1959
1292,157656,1959
1293,14781,1959
1294,13147,1959
1296,193332,1959
1300,166159,1959
1303,44366,1959
1312,149570,1959
1316,14872,1959
1321,142907,1959
1327,145233,1959
1334,148794,1959
1347,148883,1959
1365,170913,1959
1370,141830,1959
1375,163359,1959
1378,99831,1959
1381,140785,1959
1384,16096,1959
1385,44793,1959
1413,50213,1959
1414,178976,1958
1418,145356,1959
1424,160889,1959
1426,84333,1959
