occupation_pred,BASE_CUSTOMER_ID
11.0,158891
13.0,38013
8.0,157091
11.0,6590
11.0,138558
22.0,130437
12.0,76345
11.0,50294
11.0,147572
11.0,65637
9.0,173651
12.0,167556
11.0,172008
12.0,168
12.0,194037
17.0,164617
22.0,172093
16.0,163266
22.0,163861
18.0,154876
11.0,113004
12.0,29728
13.0,14458
12.0,128970
21.0,86051
20.0,36399
18.0,66110
12.0,99463
11.0,176137
20.0,59427
11.0,187481
14.0,61836
15.0,68551
12.0,50823
10.0,66214
16.0,82261
15.0,33335
10.0,196052
21.0,158455
10.0,45789
18.0,172096
17.0,122611
20.0,154878
12.0,155553
19.0,155016
10.0,35107
19.0,148163
12.0,146640
21.0,166471
16.0,136373
17.0,80727
16.0,177971
11.0,85311
11.0,151078
9.0,180142
16.0,133663
20.0,137731
16.0,294
16.0,123449
12.0,181380
13.0,11002
18.0,182500
14.0,620
17.0,29191
11.0,17437
10.0,141024
16.0,104771
10.0,177676
13.0,85459
13.0,126662
12.0,108400
13.0,53357
9.0,111542
11.0,186885
11.0,15565
11.0,87730
12.0,68112
12.0,183001
13.0,8017
14.0,79099
10.0,31589
19.0,76940
12.0,67148
9.0,151186
13.0,179679
14.0,143184
12.0,118882
19.0,135802
13.0,156745
13.0,125913
13.0,61712
13.0,146503
11.0,93045
11.0,110064
12.0,12066
11.0,193508
11.0,176648
15.0,100285
20.0,161717
16.0,152050
11.0,185596
15.0,141137
16.0,167506
10.0,159324
11.0,98335
10.0,151406
14.0,132851
12.0,93920
19.0,143364
11.0,125536
10.0,123198
12.0,119856
19.0,190439
13.0,113731
17.0,155164
16.0,50038
13.0,13652
19.0,67193
12.0,1093
11.0,133662
13.0,15298
13.0,127992
11.0,133736
16.0,148045
22.0,148051
15.0,47345
15.0,18253
12.0,16600
16.0,165658
14.0,94358
15.0,173821
13.0,109210
11.0,89739
10.0,106900
11.0,141769
11.0,49143
17.0,148252
22.0,165989
20.0,179465
15.0,111035
16.0,48092
12.0,6482
15.0,20283
16.0,15371
13.0,106070
18.0,35679
14.0,18488
13.0,114633
10.0,49558
11.0,143111
12.0,54883
19.0,9516
13.0,42198
14.0,95899
19.0,34196
15.0,159193
11.0,37567
20.0,143899
9.0,31271
11.0,145513
13.0,81278
10.0,20175
14.0,141491
14.0,140851
19.0,66478
11.0,22558
19.0,144888
13.0,4338
12.0,13797
13.0,138927
14.0,64628
12.0,148587
16.0,177960
10.0,14885
17.0,90885
22.0,185204
8.0,22568
11.0,29482
16.0,165084
9.0,156417
19.0,137820
13.0,36752
16.0,18881
15.0,31363
17.0,176956
10.0,8372
11.0,55353
9.0,148209
19.0,175746
17.0,67973
11.0,111602
12.0,159400
11.0,106869
11.0,91355
16.0,11802
12.0,130033
12.0,174078
11.0,152638
11.0,101053
11.0,175854
18.0,119708
9.0,162064
16.0,62062
11.0,173029
10.0,74962
10.0,186833
12.0,6430
11.0,83829
8.0,13619
13.0,90186
13.0,599
15.0,77127
16.0,191016
15.0,193039
14.0,193468
14.0,156073
22.0,193633
11.0,114026
11.0,185966
13.0,4773
16.0,126550
19.0,179381
11.0,65955
10.0,195349
11.0,45580
15.0,147991
16.0,85662
12.0,116931
16.0,155489
11.0,181536
22.0,128423
11.0,157150
17.0,36062
19.0,161895
13.0,13484
15.0,165285
23.0,71152
19.0,26198
9.0,190595
11.0,187648
12.0,129515
9.0,151456
19.0,42874
10.0,185857
11.0,155369
19.0,19047
17.0,137745
9.0,24317
14.0,72752
12.0,964
11.0,156728
12.0,76754
11.0,168058
17.0,133493
19.0,131816
19.0,134742
10.0,159417
14.0,29622
15.0,71462
14.0,121822
13.0,20747
10.0,191932
9.0,126966
12.0,59821
15.0,77138
11.0,101630
14.0,3559
13.0,119641
11.0,11766
17.0,5827
14.0,68323
17.0,118155
13.0,118747
20.0,188278
12.0,20827
12.0,150457
10.0,85081
10.0,122590
10.0,128678
11.0,67046
16.0,4655
14.0,173745
17.0,175159
14.0,54886
14.0,151141
11.0,11702
9.0,1331
20.0,162591
19.0,27259
15.0,178521
15.0,123640
8.0,57283
11.0,127795
11.0,49194
15.0,144647
15.0,121800
11.0,14446
16.0,38457
14.0,31288
10.0,28377
13.0,31086
11.0,182905
11.0,115184
12.0,182134
12.0,115052
16.0,140260
12.0,133751
18.0,184858
11.0,12038
10.0,2854
18.0,70571
11.0,164636
18.0,117896
22.0,144752
11.0,123115
10.0,182531
12.0,154045
19.0,15497
10.0,13636
13.0,18375
19.0,81093
12.0,181241
11.0,141665
16.0,78046
12.0,10695
9.0,36005
11.0,142842
18.0,74967
16.0,33986
17.0,183318
15.0,19620
11.0,105065
11.0,190771
14.0,90909
12.0,189250
12.0,137203
19.0,183250
11.0,135331
12.0,130920
20.0,171431
11.0,12230
20.0,26751
18.0,29849
10.0,29858
12.0,93477
19.0,176369
17.0,50963
18.0,23379
16.0,106692
17.0,23995
16.0,145665
16.0,192477
16.0,187776
10.0,177897
16.0,140137
11.0,8717
20.0,83910
16.0,72782
11.0,82441
17.0,9387
13.0,79108
17.0,65993
19.0,5784
10.0,74220
17.0,195866
15.0,6046
23.0,126709
11.0,186560
12.0,66978
12.0,154030
20.0,136553
20.0,154066
11.0,32534
19.0,171377
20.0,80939
17.0,168997
10.0,129084
12.0,187129
12.0,165290
15.0,125539
12.0,101154
16.0,16722
11.0,118129
18.0,131175
11.0,191443
15.0,111097
19.0,123529
12.0,186167
12.0,79418
10.0,194881
18.0,82002
11.0,191019
12.0,36612
11.0,38745
15.0,135398
19.0,162285
12.0,79813
8.0,193778
9.0,192065
8.0,195535
15.0,26430
18.0,181468
16.0,192372
10.0,148129
14.0,51678
16.0,169731
10.0,171518
11.0,98142
18.0,103123
11.0,133031
21.0,126816
14.0,13378
13.0,49290
10.0,168564
9.0,188864
16.0,171847
11.0,73270
11.0,107385
21.0,123942
11.0,132640
11.0,176172
12.0,11120
12.0,5999
20.0,194002
16.0,138182
16.0,42259
16.0,28204
13.0,40763
11.0,85816
13.0,78704
11.0,28442
12.0,20614
17.0,26551
13.0,20364
21.0,148804
10.0,106056
18.0,122303
12.0,189502
20.0,180539
12.0,126910
11.0,127664
17.0,76938
